number,value,datetime_start,datetime_complete,duration,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
172,0.8991986219905694,2026-01-04 03:28:43.741632,2026-01-04 03:28:46.015524,0 days 00:00:02.273892,50,2.7248824541098937,3.3499999187744574,3.47926390297588,1.4356658552511634,COMPLETE
153,0.8991986219905694,2026-01-04 03:27:57.711554,2026-01-04 03:27:59.484840,0 days 00:00:01.773286,48,1.9609461284533345,3.305373845666445,3.7071122541896524,1.4395520452857349,COMPLETE
152,0.8991986219905694,2026-01-04 03:27:55.730991,2026-01-04 03:27:57.596226,0 days 00:00:01.865235,39,2.217659302415577,3.4872227593343177,4.26228074996067,1.4446540064254567,COMPLETE
28,0.8991986219905694,2026-01-04 03:23:43.691429,2026-01-04 03:23:46.118091,0 days 00:00:02.426662,48,2.6196723736677416,2.3314459962409546,3.6836295828215304,1.4297991460945996,COMPLETE
44,0.8991986219905694,2026-01-04 03:24:25.840813,2026-01-04 03:24:27.727261,0 days 00:00:01.886448,44,2.988195608677284,2.4260700990318265,3.54986426161949,1.4373372549232428,COMPLETE
176,0.8991288533436532,2026-01-04 03:28:53.614670,2026-01-04 03:28:56.343351,0 days 00:00:02.728681,40,2.8469732897167583,2.023631596784235,4.411406115168918,1.9432469426188652,COMPLETE
80,0.8991288533436532,2026-01-04 03:25:35.863482,2026-01-04 03:25:37.700026,0 days 00:00:01.836544,43,2.7531963834514044,3.527208312224419,3.1520331858261703,1.912190756645686,COMPLETE
46,0.8991288533436532,2026-01-04 03:24:29.871987,2026-01-04 03:24:31.747115,0 days 00:00:01.875128,44,2.435964130298668,3.4114702340051415,3.646825315176175,1.8826929680808322,COMPLETE
66,0.8990024027257778,2026-01-04 03:25:07.781144,2026-01-04 03:25:09.480164,0 days 00:00:01.699020,47,2.070853096223448,2.836850408466407,4.868202432012773,1.7261906444437392,COMPLETE
69,0.8990024027257778,2026-01-04 03:25:13.415176,2026-01-04 03:25:15.091052,0 days 00:00:01.675876,42,1.8365212876640955,2.5797134008710505,3.5555057313794367,1.593256248225686,COMPLETE
